"","superkingdom","phylum","class","order","family","genus","species"
"c2adf8792081a7ce0686102cb620f769",NA,NA,NA,NA,NA,NA,NA
"44f3ffec2eb0c553823aebb84f412647","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"613a6d127d9c895e471a18014efdb1e4","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"1330e2af8ccbc2029e999033aa2e1283","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"a132e7a28230baba7e3f2d138413c211","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"31b7df267d5918ddd26bca19fff904ee","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"d550bd35bc962c3bf689d710bbdec88e","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"fdb0aa479d4e63d97eed5ad3d93c4820","Eukaryota","Basidiomycota","Agaricomycetes","Polyporales","Irpicaceae","Gloeoporus","Gloeoporus pannocinctus"
"fdac0c52db28c68443f73f7b51deba66","Eukaryota","Ascomycota","Dothideomycetes","Dothideales",NA,NA,NA
"46c5b240c79fdaeee0a4c2161d056379","Eukaryota","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Blumeria","Blumeria graminicola"
"dc5f906777511152e0d60f7b4ae1557a","Eukaryota","Ascomycota","Dothideomycetes",NA,NA,"Leptospora","Leptospora sp."
"169e93002bfa4dd587e623b81c0fd723","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
