"","superkingdom","phylum","class","order","family","genus","species"
"ce2670aea01faa613e061b4b6e3cbd92",NA,NA,NA,NA,NA,NA,NA
"414aa3168f7e06e7842a471533f9804e",NA,NA,NA,NA,NA,NA,NA
"a4a1aae814580dfc477207d4d75c0ec3",NA,NA,NA,NA,NA,NA,NA
"60d19315472b3d168e786444ab0a57ba",NA,NA,NA,NA,NA,NA,NA
"6b3076e009952eaa67c830a41b98c84c",NA,NA,NA,NA,NA,NA,NA
"21a2d3df89530a4ca3d473fa86d2d8d1",NA,NA,NA,NA,NA,NA,NA
"a0acfd0d1af6c0088bd701b9cc2a6c1f",NA,NA,NA,NA,NA,NA,NA
"81d5de83e087ecd3784d962b1e54fbb7",NA,NA,NA,NA,NA,NA,NA
"e34da72f5ac7a4739d0a7def032fd8a5",NA,NA,NA,NA,NA,NA,NA
"7ce2949b9d7d1c870e50d26b8a78d7f1",NA,NA,NA,NA,NA,NA,NA
"2c67f964666e6523834a330a94c6f9c4",NA,NA,NA,NA,NA,NA,NA
"f9e47bca04b5d68d286b8d898034a971",NA,NA,NA,NA,NA,NA,NA
"60d122ebd7e3de69ee71804021c8a6ae",NA,NA,NA,NA,NA,NA,NA
"a8a5b197702ef61e1eb76006d58f4765",NA,NA,NA,NA,NA,NA,NA
"666589daa329a16c70d902380b4474f3",NA,NA,NA,NA,NA,NA,NA
"cb04d458fd575e2cd9fa3facb1f23f6c",NA,NA,NA,NA,NA,NA,NA
"f6e4947ba0e26f5a3038c9b40a6865da",NA,NA,NA,NA,NA,NA,NA
"28c72be050fca87fc87c4c74a24198d8",NA,NA,NA,NA,NA,NA,NA
"6d612032e5afee2a2da6202a22739d01",NA,NA,NA,NA,NA,NA,NA
"2021417f28316ed0a560ba605181f996",NA,NA,NA,NA,NA,NA,NA
"999c5c5948930e18488794a9def4cd65",NA,NA,NA,NA,NA,NA,NA
"628e2348dc2c85f5e4694ae346b4cfa0",NA,NA,NA,NA,NA,NA,NA
"a4e5111cdd7b7fa8c2bb50ddd3b3779a",NA,NA,NA,NA,NA,NA,NA
"412123cb6bc0cfd5647571705d281391",NA,NA,NA,NA,NA,NA,NA
"63b41d06943c24169ab092ba6b8dc6bc",NA,NA,NA,NA,NA,NA,NA
"d6dd732612eb76b1d7cd5055dfcfdf26",NA,NA,NA,NA,NA,NA,NA
"1c838d4d158c5538e3d499322da15c47",NA,NA,NA,NA,NA,NA,NA
"5104430b136d9f2f3adaf9e0c94c0a48",NA,NA,NA,NA,NA,NA,NA
"18f9e26e8c367894644e9cef0c034345",NA,NA,NA,NA,NA,NA,NA
"a4eba08edcc837a2b505d676a729034d",NA,NA,NA,NA,NA,NA,NA
"902484a8c1b72ff7a152581a199bf4c2",NA,NA,NA,NA,NA,NA,NA
"62406d11d8afb22d07658f22c5aa21ec","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum",NA
"50656ece762d7c9063e1fb71ca3fb061","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa","Gemmatirosa kalamazoonensis"
"29afb8be58316f575325e30c6bb1a702","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas chengduensis"
"bf563ea6f0d0d5ca3f729f05b33b9859","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae",NA,NA
"a6b9700b741f5ed52b4dcd8f0f12e50b",NA,NA,NA,NA,NA,NA,NA
"154cea2bd3e4d58207750d255360df30",NA,NA,NA,NA,NA,NA,NA
"6581159120156983f51442348bbac8a5",NA,NA,NA,NA,NA,NA,NA
"a802ca7372f9a2ef351c06ab6530762c","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Edaphobaculum","Edaphobaculum flavum"
"7121985195bd91973f81795961b5ea42",NA,NA,NA,NA,NA,NA,NA
"11b20a1d1289b956dde2e3b27361e364",NA,NA,NA,NA,NA,NA,NA
"712e54ae8982c6cf83a935cf11060c26","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"d2191848a16df26e23b43af11f8fc689","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus",NA
"04057beb0e90b3442c50e04166380c34",NA,NA,NA,NA,NA,NA,NA
"ba40f4a0dcf8dc568f8a2406ad8e7372",NA,NA,NA,NA,NA,NA,NA
"38f42c996c3de92f3f044cb560fa9f62","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia heimbachae"
"eb3dff6bbe3404cc2cdf4f0a83af3566",NA,NA,NA,NA,NA,NA,NA
"eab05744b1a2bb976da468d10e126b9d","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Empedobacter","Empedobacter brevis"
"2810bf4cccab648f5f121067b6bca831","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA
"23671761af0658bdfbf0f7ba70cf78bc","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Sinobacteraceae","Panacagrimonas","Panacagrimonas perspica"
"0dfaea6bb189039e61386356c990f307","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium","Cloacibacterium normanense"
"2c7087e52dd85bd87295dcb7370f1850",NA,NA,NA,NA,NA,NA,NA
"68541896fb3cbc141fd7ad30510d617d","Bacteria","Balneolaeota","Balneolia","Balneolales","Balneolaceae","Rhodohalobacter","Rhodohalobacter halophilus"
"88c440acea3fa2a875c2f2914ef72f7e",NA,NA,NA,NA,NA,NA,NA
"9bbf4e750abbe95bae8bf174e32be20c",NA,NA,NA,NA,NA,NA,NA
"413f2138a558ad2e5e2c31e78b03566f","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus metalli"
"4bb5d0a0e6d981ca7f1016b4aafa46d1","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus arcticus"
"b61c05fee494734426971f676f2077f2","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus petrolearius"
"e32f6e790f5a7a6b9782998b0192ffef","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"00656de15f7dd9c897c2798345e35992","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"df12b59744cc101c3fc950b18b275f9e","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"0caba9a311de8cb910991e17bab046e3","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"0f8438afb02aed0d62173b129234bd94","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"93cd2b4d03048cc61edfe506a334af59","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiophilus"
"b2daf5fa698f7bd10f6dabe3ff37e221","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus wulumuqiensis"
